Sample,TotalMass with bag,TotalMass,RockTin,Rock&TinMass,RockMass,PickedMass,PickedMassNoRocks,RootPickedFraction,RootTin,Tin&RootMass,RootMass,RootMassScaled,Roots_mg_cm3,RootFraction,FineTin,FineRoots&Tin,FineRootMass,CoarseTin,CoarseRoots&Tin,CoarseRootMass,Worm?,AbovegroundBiomass_kg
39,588.7,579.84,6.92,21.2,14.28,271.5,257.22,0.468232616,6.88,10.7383,3.8583,8.240135072,10.49698735,0.015,0.564,2.8799,2.3159,0.4078,0.6427,,N,3825.79
40,420.49,411.63,6.9,9.44,2.54,214.34,211.8,0.520710347,6.98,8.2034,1.2234,2.349482794,2.992971712,0.005776204,0.564,1.2059,0.6419,0.4078,0.7134,,N,1045.2742
41,636.2,627.34,7.22,83.37,76.15,256.61,180.46,0.409044537,7.09,10.0522,2.9622,7.241754211,9.2251646,0.016414718,0.564,2.6531,2.0891,0.4078,0.8471,,N,5744.1496
42,601.4,592.54,6.94,41.38,34.44,249.49,215.05,0.421051743,7.06,12.9661,5.9061,14.02701709,17.86881158,0.027463846,10.9799,12.1548,1.1749,0.8431,2.0573,,N,1323.5312
43,476.4,467.54,6.88,15.38,8.5,179.59,171.09,0.384116867,6.98,24.3029,17.3229,45.09799357,57.44967334,0.101250219,0.564,2.1305,1.5665,0.4078,14.6164,,N,1963.7658
44,396.9,388.04,6.88,37.46,30.58,205.33,174.75,0.52914648,7.32,11.0406,3.7206,7.031323353,8.957099812,0.021290987,0.564,2.6018,2.0378,0.4078,0.6035,,N,580.0914
45,421.69,412.83,6.98,21.88,14.9,180.53,165.63,0.437298646,6.94,11.0533,4.1133,9.406157641,11.98236642,0.024834269,9.6199,11.9634,2.3435,0.6266,1.6283,,N,2834.7173
46,536.12,527.26,6.98,15.69,8.71,248.25,239.54,0.47083033,7.11,10.8288,3.7188,7.898386659,10.06163906,0.015524756,10.9569,12.5137,1.5568,0.8431,1.2232,,N,2226.1017
47,586.93,578.07,7.11,53.1,45.99,586.93,540.94,1.015326864,6.94,10.9893,4.0493,3.988173804,5.080476184,0.007485673,9.9182,11.5466,1.6284,0.6266,1.0343,,Y,
48,437.23,428.37,6.96,13.84,6.88,199.65,192.77,0.466069052,7.06,9.885,2.825,6.061333584,7.721444056,0.01465477,0.7282,2.5088,1.7806,0.648,1.1262,,N,
